,Latitude,Longitude,Year,Common_Name,day_mean,counts,day_std
205,40.86039,-73.87847099999998,2018,northern red oak,312.5,2,9.192388155425117
206,40.86039,-73.87847099999998,2018,sweetgum,312.5,2,9.192388155425117
207,40.86039,-73.87847099999998,2018,white oak,307.6666666666667,3,10.598742063723089
208,40.86039,-73.87847099999998,2019,northern red oak,308.2,5,9.203260291874829
209,40.86039,-73.87847099999998,2019,sweetgum,308.2,5,9.203260291874829
210,40.86039,-73.87847099999998,2019,white oak,302.5,4,12.66227994214838
211,40.861065,-73.879005,2015,northern red oak,315.0,1,
212,40.861065,-73.879005,2015,red maple,315.0,1,
213,40.861065,-73.879005,2015,sugar maple,298.0,3,16.522711641858304
214,40.861065,-73.879005,2015,sweetgum,297.0,1,
215,40.861065,-73.879005,2015,white oak,315.0,1,
216,40.861065,-73.879005,2018,northern red oak,312.5,2,9.192388155425117
217,40.861065,-73.879005,2018,red maple,312.5,2,9.192388155425117
218,40.861065,-73.879005,2018,sugar maple,307.6666666666667,3,10.598742063723089
219,40.861065,-73.879005,2018,sweetgum,303.5,4,12.01388086062674
220,40.861065,-73.879005,2018,white oak,307.6666666666667,3,10.598742063723089
221,40.861065,-73.879005,2019,northern red oak,309.75,4,4.991659710623987
222,40.861065,-73.879005,2019,red maple,308.6666666666667,3,5.507570547286095
223,40.861065,-73.879005,2019,sugar maple,283.55555555555554,9,21.266823405900972
224,40.861065,-73.879005,2019,sweetgum,300.25,4,11.02648327134872
225,40.861065,-73.879005,2019,white oak,295.5,6,11.708970919769161
226,40.86222100000001,-73.875191,2014,American beech,318.4,10,5.521674464226309
227,40.86222100000001,-73.875191,2014,flowering dogwood,281.5,12,20.097489666848716
228,40.86222100000001,-73.875191,2014,northern red oak,303.92857142857144,14,12.4928551008738
229,40.86222100000001,-73.875191,2014,pignut hickory,307.4102564102564,39,8.836878314969383
230,40.86222100000001,-73.875191,2014,red maple,306.54545454545456,22,11.087218177992472
231,40.86222100000001,-73.875191,2014,sweetgum,304.7647058823529,17,12.142535833613517
232,40.86222100000001,-73.875191,2014,tuliptree,293.13793103448273,29,15.195685802064808
233,40.86222100000001,-73.875191,2014,white ash,285.8333333333333,6,6.96897888263888
234,40.86222100000001,-73.875191,2014,white oak,304.6666666666667,9,12.399596767637242
235,40.86222100000001,-73.875191,2015,American beech,312.42857142857144,14,4.10842072810477
236,40.86222100000001,-73.875191,2015,flowering dogwood,285.38461538461536,13,18.87034031462453
237,40.86222100000001,-73.875191,2015,northern red oak,312.0,8,7.982122882685139
238,40.86222100000001,-73.875191,2015,pignut hickory,308.72727272727275,44,6.266795614405128
239,40.86222100000001,-73.875191,2015,red maple,304.8333333333333,12,17.314383580938678
240,40.86222100000001,-73.875191,2015,sweetgum,300.57142857142856,7,21.831606620197416
241,40.86222100000001,-73.875191,2015,tuliptree,282.09090909090907,22,22.5259830733292
242,40.86222100000001,-73.875191,2015,white ash,303.25,4,10.078855755160575
243,40.86222100000001,-73.875191,2015,white oak,291.8181818181818,11,19.307087723518435
244,40.86222100000001,-73.875191,2016,American beech,311.780487804878,82,10.667852237636522
245,40.86222100000001,-73.875191,2016,flowering dogwood,293.77777777777777,36,21.531519900052338
246,40.86222100000001,-73.875191,2016,northern red oak,315.62857142857143,35,11.074840894583387
247,40.86222100000001,-73.875191,2016,pignut hickory,313.42857142857144,161,10.767842335929172
248,40.86222100000001,-73.875191,2016,red maple,303.5625,80,18.97956512686903
249,40.86222100000001,-73.875191,2016,sweetgum,315.2040816326531,49,14.464006464088666
250,40.86222100000001,-73.875191,2016,tuliptree,296.5,60,24.16153267110656
251,40.86222100000001,-73.875191,2016,white ash,296.3333333333333,15,4.623954193215207
252,40.86222100000001,-73.875191,2016,white oak,301.77142857142854,35,17.93958113860437
253,40.86222100000001,-73.875191,2017,American beech,307.3157894736842,38,10.251183881947869
254,40.86222100000001,-73.875191,2017,flowering dogwood,283.5,10,9.119576013536333
255,40.86222100000001,-73.875191,2017,northern red oak,306.05263157894734,19,12.020693658162656
256,40.86222100000001,-73.875191,2017,pignut hickory,307.320987654321,81,9.20845692895099
257,40.86222100000001,-73.875191,2017,red maple,301.6279069767442,43,11.35576894675535
258,40.86222100000001,-73.875191,2017,sweetgum,305.14285714285717,21,13.617215994048582
259,40.86222100000001,-73.875191,2017,tuliptree,294.51724137931035,29,13.547853519113968
260,40.86222100000001,-73.875191,2017,white ash,278.7142857142857,7,5.345224838248504
261,40.86222100000001,-73.875191,2017,white oak,300.55555555555554,9,18.642096925447454
262,40.86222100000001,-73.875191,2018,American beech,314.2,20,3.9682954049632753
263,40.86222100000001,-73.875191,2018,flowering dogwood,305.5,10,5.892556509887893
264,40.86222100000001,-73.875191,2018,northern red oak,306.93333333333334,15,6.638272867747045
265,40.86222100000001,-73.875191,2018,pignut hickory,309.2068965517241,58,7.393118233680616
266,40.86222100000001,-73.875191,2018,red maple,309.625,16,5.226534862283677
267,40.86222100000001,-73.875191,2018,sweetgum,311.46666666666664,15,5.742904524798608
